model,fold,node_id,true_label,pred_label,prob_pos,confidence,degree,purity
baseline_sage,1,665,1,0,0.03968192636966705,0.9603180885314941,22,1.0
baseline_sage,1,2669,1,0,0.04937176778912544,0.9506282210350037,18,1.0
baseline_sage,1,2009,1,0,0.052571095526218414,0.9474288821220398,18,1.0
baseline_sage,1,2645,1,0,0.05500107258558273,0.9449989199638367,18,1.0
baseline_sage,1,2642,1,0,0.06186552345752716,0.938134491443634,22,1.0
baseline_sage,1,4798,1,0,0.06482208520174026,0.9351779222488403,18,1.0
baseline_sage,1,635,1,0,0.06672302633523941,0.9332769513130188,20,1.0
baseline_sage,1,2673,1,0,0.07917354255914688,0.9208264350891113,20,1.0
baseline_sage,1,1237,1,0,0.08028779923915863,0.9197121858596802,24,1.0
baseline_sage,1,6791,1,0,0.08437598496675491,0.9156240224838257,18,1.0
baseline_sage,1,4270,1,0,0.08465871959924698,0.9153412580490112,20,1.0
baseline_sage,1,746,1,0,0.08480492979288101,0.9151950478553772,20,1.0
baseline_sage,1,1290,1,0,0.08594124764204025,0.9140587449073792,20,1.0
baseline_sage,1,4815,1,0,0.0866474062204361,0.9133526086807251,18,1.0
baseline_sage,1,5449,1,0,0.08953814953565598,0.9104618430137634,20,1.0
baseline_sage,1,650,1,0,0.09012959152460098,0.9098703861236572,18,1.0
baseline_sage,1,6851,1,0,0.0902341902256012,0.9097658395767212,18,1.0
baseline_sage,1,5557,1,0,0.09054342657327652,0.9094565510749817,18,1.0
baseline_sage,1,811,1,0,0.09338942170143127,0.9066106081008911,18,1.0
baseline_sage,1,144,1,0,0.09636053442955017,0.9036394357681274,22,1.0
baseline_sage,1,5510,1,0,0.099983811378479,0.900016188621521,18,1.0
baseline_sage,1,2686,1,0,0.10144110023975372,0.8985589146614075,22,1.0
baseline_sage,1,4814,1,0,0.10183019191026688,0.8981698155403137,20,1.0
baseline_sage,1,6852,1,0,0.10313837230205536,0.8968616127967834,18,1.0
baseline_sage,1,4807,1,0,0.10442261397838593,0.8955773711204529,18,1.0
baseline_sage,1,143,1,0,0.10464005172252655,0.8953599333763123,22,1.0
baseline_sage,1,5481,1,0,0.10491835325956345,0.895081639289856,20,1.0
baseline_sage,1,1820,1,0,0.10644658654928207,0.8935534358024597,18,1.0
baseline_sage,1,4487,1,0,0.10813292860984802,0.8918670415878296,18,1.0
baseline_sage,1,4158,1,0,0.1087355986237526,0.8912643790245056,18,1.0
baseline_sage,1,3466,0,1,0.18160517513751984,0.18160517513751984,18,1.0
baseline_sage,1,3183,0,1,0.1537037342786789,0.1537037342786789,24,1.0
baseline_sage,1,1116,0,1,0.1403101086616516,0.1403101086616516,22,1.0
baseline_sage,1,4504,0,1,0.13803809881210327,0.13803809881210327,18,1.0
baseline_sage,1,5228,0,1,0.13344058394432068,0.13344058394432068,18,1.0
baseline_sage,1,1557,0,1,0.12878452241420746,0.12878452241420746,20,1.0
baseline_sage,1,2028,0,1,0.12747350335121155,0.12747350335121155,20,1.0
baseline_sage,1,3463,0,1,0.1263158917427063,0.1263158917427063,26,1.0
baseline_sage,1,11,0,1,0.12617142498493195,0.12617142498493195,18,1.0
baseline_sage,1,6136,0,1,0.12548993527889252,0.12548993527889252,18,1.0
baseline_sage,1,6964,0,1,0.12083610147237778,0.12083610147237778,22,1.0
baseline_sage,1,6937,0,1,0.12050878256559372,0.12050878256559372,24,1.0
baseline_sage,1,2279,0,1,0.12025921791791916,0.12025921791791916,20,1.0
baseline_sage,1,4593,0,1,0.1193661168217659,0.1193661168217659,24,1.0
baseline_sage,1,6962,0,1,0.11866782605648041,0.11866782605648041,18,1.0
baseline_sage,1,4678,0,1,0.11807765066623688,0.11807765066623688,22,1.0
baseline_sage,1,3931,0,1,0.11366646736860275,0.11366646736860275,20,1.0
baseline_sage,1,6074,0,1,0.11134402453899384,0.11134402453899384,20,1.0
baseline_sage,1,6054,0,1,0.11093982309103012,0.11093982309103012,18,1.0
baseline_sage,1,5,0,1,0.11067667603492737,0.11067667603492737,20,1.0
baseline_sage,2,2096,0,1,0.9270488023757935,0.9270488023757935,18,1.0
baseline_sage,2,2020,0,1,0.9252803921699524,0.9252803921699524,18,1.0
baseline_sage,2,4542,0,1,0.9235297441482544,0.9235297441482544,20,1.0
baseline_sage,2,1519,0,1,0.9222928881645203,0.9222928881645203,20,1.0
baseline_sage,2,2806,0,1,0.9211789965629578,0.9211789965629578,20,1.0
baseline_sage,2,4655,0,1,0.9208788871765137,0.9208788871765137,20,1.0
baseline_sage,2,1583,0,1,0.9202096462249756,0.9202096462249756,20,1.0
baseline_sage,2,6020,0,1,0.9190722107887268,0.9190722107887268,18,1.0
baseline_sage,2,3756,0,1,0.9179013967514038,0.9179013967514038,20,1.0
baseline_sage,2,2045,0,1,0.9168621301651001,0.9168621301651001,20,1.0
baseline_sage,2,5167,0,1,0.9149178266525269,0.9149178266525269,20,1.0
baseline_sage,2,4581,0,1,0.9119678139686584,0.9119678139686584,24,1.0
baseline_sage,2,5946,0,1,0.9104913473129272,0.9104913473129272,20,1.0
baseline_sage,2,2213,0,1,0.9097965359687805,0.9097965359687805,20,1.0
baseline_sage,2,1536,0,1,0.9095944166183472,0.9095944166183472,18,1.0
baseline_sage,2,3020,0,1,0.907454252243042,0.907454252243042,18,1.0
baseline_sage,2,1072,0,1,0.9048712253570557,0.9048712253570557,22,1.0
baseline_sage,2,4650,0,1,0.9038596153259277,0.9038596153259277,18,1.0
baseline_sage,2,2031,0,1,0.9033961892127991,0.9033961892127991,26,1.0
baseline_sage,2,1440,0,1,0.9028986096382141,0.9028986096382141,18,1.0
baseline_sage,2,6055,0,1,0.9024368524551392,0.9024368524551392,18,1.0
baseline_sage,2,3006,0,1,0.9016109108924866,0.9016109108924866,24,1.0
baseline_sage,2,2245,0,1,0.9007088541984558,0.9007088541984558,18,1.0
baseline_sage,2,3909,0,1,0.9000141620635986,0.9000141620635986,24,1.0
baseline_sage,2,2699,1,0,0.8163009285926819,0.18369907140731812,18,1.0
baseline_sage,2,5525,1,0,0.8410937190055847,0.15890628099441528,20,1.0
baseline_sage,2,693,1,0,0.843660295009613,0.15633970499038696,24,1.0
baseline_sage,2,5448,1,0,0.8474097847938538,0.15259021520614624,18,1.0
baseline_sage,2,667,1,0,0.863882839679718,0.13611716032028198,18,1.0
baseline_sage,2,2000,1,0,0.8652290105819702,0.13477098941802979,18,1.0
baseline_sage,2,4309,1,0,0.8782045245170593,0.12179547548294067,22,1.0
baseline_sage,2,1198,1,0,0.8786470890045166,0.1213529109954834,18,1.0
baseline_sage,2,1960,1,0,0.8808929324150085,0.11910706758499146,22,1.0
baseline_sage,2,1853,1,0,0.8815955519676208,0.11840444803237915,18,1.0
baseline_sage,2,738,1,0,0.8878828287124634,0.11211717128753662,20,1.0
baseline_sage,2,1261,1,0,0.8897495865821838,0.11025041341781616,22,1.0
baseline_sage,2,7076,1,0,0.8908998370170593,0.10910016298294067,20,1.0
baseline_sage,2,5572,1,0,0.8912889361381531,0.10871106386184692,20,1.0
baseline_sage,2,6737,1,0,0.8921825289726257,0.10781747102737427,24,1.0
baseline_sage,2,2679,1,0,0.8935555815696716,0.10644441843032837,18,1.0
baseline_sage,2,946,1,0,0.8941708207130432,0.10582917928695679,18,1.0
baseline_sage,2,1952,1,0,0.8963181972503662,0.10368180274963379,24,1.0
baseline_sage,2,658,1,0,0.8966368436813354,0.10336315631866455,20,1.0
baseline_sage,2,1935,1,0,0.8969600200653076,0.10303997993469238,22,1.0
baseline_sage,2,4478,1,0,0.8970286250114441,0.10297137498855591,20,1.0
baseline_sage,2,5546,1,0,0.8976068496704102,0.10239315032958984,24,1.0
baseline_sage,2,1983,1,0,0.8979631066322327,0.10203689336776733,20,1.0
baseline_sage,2,6748,1,0,0.8986059427261353,0.10139405727386475,20,1.0
baseline_sage,2,6776,1,0,0.8994379639625549,0.10056203603744507,18,1.0
baseline_sage,3,704,1,0,4.373662522993982e-05,0.9999562501907349,18,1.0
baseline_sage,3,6712,1,0,5.690439138561487e-05,0.9999430775642395,24,1.0
baseline_sage,3,6773,1,0,5.7138367992592975e-05,0.9999428391456604,22,1.0
baseline_sage,3,6859,1,0,5.965099626337178e-05,0.9999403357505798,20,1.0
baseline_sage,3,6842,1,0,6.16162215010263e-05,0.9999383687973022,18,1.0
baseline_sage,3,3567,1,0,6.744145503034815e-05,0.999932587146759,18,1.0
baseline_sage,3,1227,1,0,7.083476521074772e-05,0.9999291896820068,20,1.0
baseline_sage,3,2670,1,0,7.097147317836061e-05,0.9999290108680725,18,1.0
baseline_sage,3,2676,1,0,7.294526585610583e-05,0.9999270439147949,22,1.0
baseline_sage,3,2691,1,0,7.452531281160191e-05,0.9999254941940308,24,1.0
baseline_sage,3,2683,1,0,7.938346243463457e-05,0.9999206066131592,18,1.0
baseline_sage,3,2680,1,0,8.035667997319251e-05,0.9999196529388428,18,1.0
baseline_sage,3,4761,1,0,8.330079435836524e-05,0.999916672706604,22,1.0
baseline_sage,3,4812,1,0,8.4602230344899e-05,0.9999154210090637,18,1.0
baseline_sage,3,1869,1,0,8.548398909624666e-05,0.9999145269393921,20,1.0
baseline_sage,3,2492,1,0,8.63351597217843e-05,0.9999136924743652,18,1.0
baseline_sage,3,1898,1,0,8.769061241764575e-05,0.9999123215675354,20,1.0
baseline_sage,3,1991,1,0,8.84415494510904e-05,0.9999115467071533,18,1.0
baseline_sage,3,4749,1,0,9.048543142853305e-05,0.999909520149231,22,1.0
baseline_sage,3,6757,1,0,9.086997306440026e-05,0.9999091029167175,18,1.0
baseline_sage,3,5542,1,0,9.198782936437055e-05,0.9999080300331116,24,1.0
baseline_sage,3,1846,1,0,9.269234578823671e-05,0.9999073147773743,20,1.0
baseline_sage,3,718,1,0,9.413251973455772e-05,0.9999058842658997,18,1.0
baseline_sage,3,3139,1,0,9.442902228329331e-05,0.9999055862426758,20,1.0
baseline_sage,3,939,1,0,9.442911687074229e-05,0.9999055862426758,20,1.0
baseline_sage,3,6824,1,0,9.526645590085536e-05,0.9999047517776489,18,1.0
baseline_sage,3,1183,1,0,9.58490782068111e-05,0.9999041557312012,26,1.0
baseline_sage,3,1876,1,0,9.676099580246955e-05,0.9999032616615295,28,1.0
baseline_sage,3,2512,1,0,9.744787530507892e-05,0.9999025464057922,24,1.0
baseline_sage,3,1856,1,0,9.75611328613013e-05,0.9999024271965027,24,1.0
baseline_sage,3,2654,1,0,9.768028394319117e-05,0.9999023079872131,24,1.0
baseline_sage,3,5463,1,0,9.780918480828404e-05,0.9999021887779236,22,1.0
baseline_sage,3,1233,1,0,9.778448293218389e-05,0.9999021887779236,18,1.0
baseline_sage,3,1894,1,0,9.821415733313188e-05,0.9999017715454102,20,1.0
baseline_sage,3,6794,1,0,9.822558786254376e-05,0.9999017715454102,28,1.0
baseline_sage,3,4461,1,0,9.836074605118483e-05,0.9999016523361206,18,1.0
baseline_sage,3,5508,1,0,0.00010030379780801013,0.999899685382843,20,1.0
baseline_sage,3,4174,1,0,0.00010029270924860612,0.999899685382843,20,1.0
baseline_sage,3,688,1,0,0.00010086701513500884,0.99989914894104,20,1.0
baseline_sage,3,4804,1,0,0.00010095495963469148,0.9998990297317505,22,1.0
baseline_sage,3,4313,1,0,0.00010109599679708481,0.9998989105224609,20,1.0
baseline_sage,3,6787,1,0,0.00010217877570539713,0.999897837638855,18,1.0
baseline_sage,3,2470,1,0,0.0001024148368742317,0.9998975992202759,18,1.0
baseline_sage,3,162,1,0,0.00010247706086374819,0.9998975396156311,22,1.0
baseline_sage,3,6813,1,0,0.00010244501754641533,0.9998975396156311,20,1.0
baseline_sage,3,5446,1,0,0.00010304805618943647,0.9998969435691833,18,1.0
baseline_sage,3,148,1,0,0.0001050105711328797,0.9998949766159058,18,1.0
baseline_sage,3,1337,1,0,0.00010553640458965674,0.9998944401741028,18,1.0
baseline_sage,3,6758,1,0,0.0001059023488778621,0.9998940825462341,20,1.0
baseline_sage,3,1260,1,0,0.00010933475277852267,0.9998906850814819,18,1.0
baseline_sage,4,4550,0,1,0.9900962114334106,0.9900962114334106,24,1.0
baseline_sage,4,2689,1,0,0.9479007720947266,0.05209922790527344,18,1.0
baseline_sage,4,4440,1,0,0.9614678621292114,0.038532137870788574,18,1.0
baseline_sage,4,6762,1,0,0.966017484664917,0.03398251533508301,20,1.0
baseline_sage,4,645,1,0,0.9660909175872803,0.03390908241271973,18,1.0
baseline_sage,4,1240,1,0,0.967384934425354,0.032615065574645996,24,1.0
baseline_sage,4,4484,1,0,0.9718884229660034,0.028111577033996582,18,1.0
baseline_sage,4,6834,1,0,0.9763973951339722,0.023602604866027832,18,1.0
baseline_sage,4,6820,1,0,0.9767839908599854,0.02321600914001465,18,1.0
baseline_sage,4,5495,1,0,0.9779011011123657,0.022098898887634277,18,1.0
baseline_sage,4,4493,1,0,0.9794377088546753,0.020562291145324707,24,1.0
baseline_sage,4,2667,1,0,0.9794597029685974,0.020540297031402588,18,1.0
baseline_sage,4,4454,1,0,0.9807575941085815,0.019242405891418457,32,1.0
baseline_sage,4,6709,1,0,0.9808408617973328,0.019159138202667236,18,1.0
baseline_sage,4,1253,1,0,0.9813506603240967,0.01864933967590332,24,1.0
baseline_sage,4,4783,1,0,0.9823180437088013,0.01768195629119873,18,1.0
